,Species,Season,Inspected,Longitude,Latitude,Watered
923,GYMNOCLADUS DIOICUS,Fall 2018,Yes,-71.0304599999,42.379700040799996,No
924,MALUS 'ROYAL RAINDROPS',Spring 2019,Yes,-71.0673909998,42.3797020408,No
925,ACER GINNALA FLAME,Spring 2019,Yes,-71.06757999989999,42.3798400408,No
926,ACER RUBRUM OCT. GLORY,Fall 2018,Yes,-71.06879000010001,42.3798800413,No
927,ZELKOVA SERRATA 'GREEN VASE',Fall 2018,Yes,-71.06879000010001,42.3798800413,No
928,OSTRYA VIRGINIANA,Spring 2019,Yes,-71.0669699998,42.3798800413,No
929,ACER RUBRUM OCT. GLORY,Fall 2018,Yes,-71.0687931298,42.3798815277,No
930,QUERCUS BICOLOR,Spring 2019,Yes,-71.0670441009,42.3798975498,No
931,TILIA CORDATA 'GREEN SPIRE',Spring 2019,Yes,-71.0670900004,42.3799500402,No
932,PRUNUS SUB AUTUMNALIS,Spring 2019,Yes,-71.0671399997,42.3799700397,No
933,PRUNUS SUB AUTUMNALIS,Spring 2019,Yes,-71.0671399997,42.3799700397,No
934,TILIA TOMENTOSA 'STERLING SILVER',Spring 2019,Yes,-71.0388200004,42.380090040300004,Yes
935,CELTIS OCCIDENTALIS,Fall 2018,Yes,-71.0669699998,42.3801100412,No
936,TILIA CORDATA 'GREEN SPIRE',Spring 2019,Yes,-71.0681299997,42.3801400401,No
937,MALUS 'ROYAL RAINDROPS',Spring 2019,Yes,-71.0675000004,42.3801500408,No
938,QUERCUS PALUSTRIS,Spring 2019,Yes,-71.0367299998,42.3801500408,No
939,GLEDITSIA TRI. INERMIS SKYLINE,Spring 2019,Yes,-71.06474799989999,42.3801590403,No
940,QUERCUS BICOLOR,Spring 2019,Yes,-71.03845799999999,42.3801650403,No
941,TILIA TOMENTOSA 'STERLING SILVER',Spring 2019,Yes,-71.0312699991,42.38021004,No
942,ZELKOVA SERRATA 'GREEN VASE',Spring 2019,Yes,-71.0385099999,42.3802200401,No
943,TILIA TOMENTOSA 'STERLING SILVER',Spring 2019,Yes,-71.0372300003,42.380270041100005,No
944,PRUNUS VIRGINIANA CANADA RED,Spring 2019,Yes,-71.0280100004,42.3802900412,No
945,PRUNUS VIRGINIANA CANADA RED,Spring 2019,Yes,-71.0283700002,42.3805100402,No
946,CELTIS OCCIDENTALIS,Spring 2019,Yes,-71.0622767112,42.380917552199996,No
947,TAXODIUM DISTICHUM,Spring 2019,Yes,-71.0290999991,42.3809900402,No
948,TILIA TOMENTOSA 'STERLING SILVER',Fall 2018,Yes,-71.0625482854,42.3810477353,No
949,ACER GINNALA FLAME,Spring 2019,Yes,-71.0691099997,42.381080039699995,No
950,QUERCUS BICOLOR,Spring 2019,Yes,-71.06658098529999,42.381150665,No
951,PYRUS CALLERYANA 'CHANTICLEER',Spring 2019,Yes,-71.02006999999999,42.3814000408,No
952,MALUS 'ROYAL RAINDROPS',Fall 2018,Yes,-71.0172299996,42.3820300403,No
953,GLEDITSIA TRI. INERMIS SKYLINE,Spring 2019,Yes,-71.0692935722,42.3820374018,No
954,GLEDITSIA TRI. INERMIS SKYLINE,Spring 2019,Yes,-71.0692935722,42.3820374018,No
955,SYRINGA RETICULATA 'IVORY SILK',Fall 2018,Yes,-71.01714,42.3820500399,No
956,MALUS 'ROYAL RAINDROPS',Fall 2018,Yes,-71.0168651803,42.382118342199995,No
957,CELTIS OCCIDENTALIS,Spring 2019,Yes,-71.0692084129,42.3824950889,No
958,ACER CAMPESTRE 'QUEEN ELIZABETH',Spring 2019,Yes,-71.0699243037,42.3827111287,No
959,ACER CAMPESTRE 'QUEEN ELIZABETH',Spring 2019,Yes,-71.0699243037,42.3827111287,No
960,LIQUIDAMBAR STYR. 'HAPPI DAZE',Spring 2019,Yes,-71.01637599909999,42.3831190398,No
961,PRUNUS VIRGINIANA CANADA RED,Spring 2019,Yes,-71.01971999930001,42.3834100398,No
962,ULMUS WILSONIANA 'PROSPECTOR',Fall 2018,Yes,-71.01661000029999,42.3835600397,No
963,ULMUS WILSONIANA 'PROSPECTOR',Fall 2018,Yes,-71.01661000029999,42.3835600397,No
964,ULMUS WILSONIANA 'PROSPECTOR',Fall 2018,Yes,-71.01661000029999,42.3835600397,No
965,GLEDITSIA TRI. INERMIS SKYLINE,Spring 2019,Yes,-71.06957,42.383630039699995,No
966,ZELKOVA SERRATA 'GREEN VASE',Spring 2019,Yes,-71.0013799998,42.383850040300004,No
967,PRUNUS ROSACEAE 'OKAME',Fall 2018,Yes,-71.0056200004,42.3848600401,No
968,TILIA TOMENTOSA 'STERLING SILVER',Spring 2019,Yes,-71.0135299988,42.38496004,No
969,PRUNUS SUB AUTUMNALIS,Spring 2019,Yes,-71.0024300001,42.3855100398,No
970,ULMUS CARPINIFOLIA 'ACCOLADE',Spring 2019,Yes,-71.00812999930001,42.3864600398,No
971,ACER TRUNCATUM 'NORWEGIAN SUNSET',Fall 2018,Yes,-71.00495,42.3881100405,No
972,ACER GINNALA FLAME,Spring 2019,Yes,-71.00495,42.3881100405,No
973,QUERCUS PALUSTRIS,Spring 2019,Yes,-70.997279999,42.3895200388,No
974,ZELKOVA SERRATA 'VILLAGE GREEN',Fall 2018,Yes,-71.0021799999,42.3904700397,No
975,ULMUS CARPINIFOLIA 'ACCOLADE',Fall 2018,Yes,-71.0117199986,42.3907400401,No
976,ACER GINNALA FLAME,Fall 2018,Yes,-71.0065099999,42.3908500403,No
977,TILIA TOMENTOSA 'STERLING SILVER',Spring 2019,Yes,-71.00081999999999,42.391040039699995,No
978,SYRINGA RETICULATA 'IVORY SILK',Fall 2018,Yes,-71.0001099994,42.391100039099996,No
979,ACER GINNALA FLAME,Spring 2019,Yes,-71.0091600004,42.3913500409,No
980,SYRINGA RETICULATA 'IVORY SILK',Fall 2018,Yes,-71.00574,42.3922650411,No
981, ,Spring 2018,Yes,-71.0775104442,42.3434518989,No
982, ,Spring 2018,Yes,-71.0742782663,42.338412722,No
983, ,Spring 2018,Yes,-71.0742782663,42.338412722,No
984, ,Spring 2018,Yes,-71.0700046382,42.3390636998,No
985, ,Spring 2018,Yes,-71.0684664449,42.3787882337,No
986, ,Spring 2018,Yes,-71.1158611173,42.2771943301,No
987, ,Spring 2018,Yes,-71.1158611173,42.2771943301,No
988, ,Spring 2018,Yes,-71.0998596786,42.3463157328,Yes
989, ,Spring 2018,Yes,-71.0998596786,42.3463157328,Yes
990, ,Spring 2018,Yes,-71.1154887332,42.274013496100004,No
991, ,Spring 2018,Yes,-71.1154887332,42.274013496100004,No
992, ,Spring 2018,Yes,-71.1154887332,42.274013496100004,No
993, ,Spring 2018,Yes,-71.1154887332,42.274013496100004,No
994, ,Spring 2018,Yes,-71.1154887332,42.274013496100004,No
995, ,Spring 2018,Yes,-71.1154887332,42.274013496100004,No
996, ,Spring 2018,Yes,-71.1154887332,42.274013496100004,No
997, ,Spring 2018,Yes,-71.1154887332,42.274013496100004,No
998, ,Spring 2018,Yes,-71.1154887332,42.274013496100004,No
999, ,Spring 2018,Yes,-71.1154887332,42.274013496100004,No
1000, ,Spring 2018,Yes,-71.1154887332,42.274013496100004,No
1001, ,Spring 2018,Yes,-71.1154887332,42.274013496100004,No
1002, ,Spring 2018,Yes,-71.1584399996,42.3517200398,No
1003, ,Spring 2018,Yes,-71.0077700003,42.386540040300005,No
1004, ,Spring 2018,Yes,-71.0841746868,42.3374366408,No
1005, ,Spring 2018,Yes,-71.0678900004,42.3593400401,Yes
1006, ,Spring 2018,Yes,-71.0634499999,42.3036900408,No
1007, ,Spring 2018,Yes,-71.05383999989999,42.2925500403,No
1008, ,Spring 2018,Yes,-71.1311299987,42.2801300388,No
1009, ,Spring 2018,Yes,-71.1620351104,42.3338960249,No
1010, ,Spring 2018,Yes,-71.16221213600001,42.333899990700004,No
1011, ,Spring 2018,Yes,-71.1618473553,42.3338761973,No
1012, ,Spring 2018,Yes,-71.0973100003,42.3498500409,Yes
1013, ,Spring 2018,Yes,-71.0837600003,42.3376900402,No
1014, ,Spring 2018,Yes,-71.1147796544,42.2749929872,No
1015, ,Spring 2018,Yes,-71.1147796544,42.2749929872,No
1016, ,Spring 2018,Yes,-71.1147796544,42.2749929872,No
1017, ,Spring 2018,Yes,-71.0759117277,42.3389283101,No
1018, ,Spring 2018,Yes,-71.1400099997,42.2920500402,No
1019, ,Spring 2018,Yes,-71.0259199998,42.336040041,No
1020, ,Spring 2018,Yes,-71.14863999970001,42.2719100403,No
1021, ,Spring 2018,Yes,-71.0264699996,42.3360000411,No
1022, ,Spring 2018,Yes,-71.0267299999,42.3355800398,No
1023, ,Spring 2018,Yes,-71.0268999998,42.3355800398,No
1024, ,Spring 2018,Yes,-71.0539100003,42.2927000398,No
1025, ,Spring 2018,Yes,-71.0539100003,42.2927000398,No
1026, ,Spring 2018,Yes,-71.0702200003,42.3587100413,Yes
1027, ,Spring 2018,Yes,-71.0763000003,42.3533300398,Yes
1028, ,Spring 2018,Yes,-71.0991599997,42.3418900402,Yes
1029, ,Spring 2018,Yes,-71.1616825728,42.3338371184,No
1030, ,Spring 2018,Yes,-71.07243999970001,42.3186800411,No
1031, ,Spring 2018,Yes,-71.13083,42.2789300397,No
1032, ,Spring 2018,Yes,-71.0708899998,42.3573900398,Yes
1033, ,Spring 2018,Yes,-71.0380400004,42.371080040900004,Yes
1034, ,Spring 2018,Yes,-71.0542900002,42.28579004,No
1035, ,Spring 2018,Yes,-71.0708000003,42.3303000401,No
1036, ,Spring 2018,Yes,-71.0543899998,42.2927500413,No
1037, ,Spring 2018,Yes,-71.0676,42.35942004,Yes
1038, ,Spring 2018,Yes,-71.05853999989999,42.2894900407,No
1039, ,Spring 2018,Yes,-71.1378399997,42.2907600411,No
1040, ,Spring 2018,Yes,-71.1378399997,42.2907600411,No
1041, ,Spring 2018,Yes,-71.0762086021,42.334332842100004,No
1042, ,Spring 2018,Yes,-71.1163767493,42.2774340242,No
1043, ,Spring 2018,Yes,-71.1163767493,42.2774340242,No
1044, ,Spring 2018,Yes,-71.1163767493,42.2774340242,No
1045, ,Spring 2018,Yes,-71.1163767493,42.2774340242,No
1046, ,Spring 2018,Yes,-71.0761799997,42.334370040100005,No
1047, ,Spring 2018,Yes,-71.1294799992,42.3529400387,No
1048, ,Spring 2018,Yes,-71.0296076379,42.3360140092,No
1049, ,Spring 2018,Yes,-71.0331499996,42.3351800409,No
1050, ,Spring 2018,Yes,-71.1220700003,42.2824600397,No
1051, ,Spring 2018,Yes,-71.1220700003,42.2824600397,No
1052, ,Spring 2018,Yes,-71.16140554319999,42.333720905,No
1053, ,Spring 2018,Yes,-71.0613347836,42.3636587152,Yes
1054, ,Spring 2018,Yes,-71.0525700004,42.3414400402,No
1055, ,Spring 2018,Yes,-71.0540299999,42.2929400397,No
1056, ,Spring 2018,Yes,-71.05480745770001,42.312353849000004,No
1057, ,Spring 2018,Yes,-71.0884700002,42.3422100397,No
1058, ,Spring 2018,Yes,-71.0439399996,42.3330700399,No
1059, ,Spring 2018,Yes,-71.0717299991,42.3017000401,No
1060, ,Spring 2018,Yes,-71.05701000010001,42.3222700391,No
1061, ,Spring 2018,Yes,-71.1452600004,42.343770040100004,No
1062, ,Spring 2018,Yes,-71.0570200001,42.322380040300004,No
1063, ,Spring 2018,Yes,-71.0779399997,42.3258800402,No
1064, ,Spring 2018,Yes,-71.1682200003,42.288070039699996,No
1065, ,Spring 2018,Yes,-71.14242,42.284620039800004,No
1066, ,Spring 2018,Yes,-71.0317799996,42.3355000401,No
1067, ,Spring 2018,Yes,-71.0570399993,42.3230600399,No
1068, ,Spring 2018,Yes,-71.0314099997,42.3347100401,No
1069, ,Spring 2018,Yes,-71.0741700004,42.27933004,No
1070, ,Spring 2018,Yes,-71.0273299991,42.3365100398,No
1071, ,Spring 2018,Yes,-71.0323400004,42.3355000401,No
1072, ,Spring 2018,Yes,-71.0323400004,42.3355000401,No
1073, ,Spring 2018,Yes,-71.0323400004,42.3355000401,No
1074, ,Spring 2018,Yes,-71.0549599997,42.3126400398,No
1075, ,Spring 2018,Yes,-71.06407,42.297190039899995,No
1076, ,Spring 2018,Yes,-71.1502099997,42.2876900402,No
1077, ,Spring 2018,Yes,-71.0743400003,42.3305900402,No
1078, ,Spring 2018,Yes,-71.0743400003,42.3305900402,No
1079, ,Spring 2018,Yes,-71.0743400003,42.3305900402,No
1080, ,Spring 2018,Yes,-71.0743400003,42.3305900402,No
1081, ,Spring 2018,Yes,-71.0743400003,42.3305900402,No
1082, ,Spring 2018,Yes,-71.0400274978,42.3820982478,Yes
1083, ,Spring 2018,Yes,-71.0400274978,42.3820982478,Yes
1084, ,Spring 2018,Yes,-71.0830899999,42.352050039699996,Yes
1085, ,Spring 2018,Yes,-71.1443000787,42.3413217652,No
1086, ,Spring 2018,Yes,-71.0651300004,42.3088700403,No
1087, ,Spring 2018,Yes,-71.14027,42.2930500397,No
1088, ,Spring 2018,Yes,-71.0317400004,42.334670040700004,No
1089, ,Spring 2018,Yes,-71.0672400002,42.3593900411,Yes
1090, ,Spring 2018,Yes,-71.0682700004,42.358730041,Yes
1091, ,Spring 2018,Yes,-71.0552400001,42.2937300399,No
1092, ,Spring 2018,Yes,-71.16871999989999,42.2906400408,No
1093, ,Spring 2018,Yes,-71.0185700003,42.3842900397,No
1094, ,Spring 2018,Yes,-71.11591,42.2817100389,No
1095, ,Spring 2018,Yes,-71.0728348973,42.337058736100005,No
1096, ,Spring 2018,Yes,-71.0728348973,42.337058736100005,No
1097, ,Spring 2018,Yes,-71.0171529996,42.3839560401,No
1098, ,Spring 2018,Yes,-71.0692299994,42.3594500402,Yes
1099, ,Spring 2018,Yes,-71.0648700001,42.3770700412,No
1100, ,Spring 2018,Yes,-71.0648700001,42.3770700412,No
1101, ,Spring 2018,Yes,-71.0621999996,42.378000039899995,No
1102, ,Spring 2018,Yes,-71.1223599999,42.2821000403,No
1103, ,Spring 2018,Yes,-71.0793799991,42.3401200399,No
1104, ,Spring 2018,Yes,-71.1155900003,42.282190039899994,No
1105, ,Spring 2018,Yes,-71.07565,42.2931200409,No
1106, ,Spring 2018,Yes,-71.1377500002,42.2848900398,No
1107, ,Spring 2018,Yes,-71.09812435,42.3438023962,Yes
1108, ,Spring 2018,Yes,-71.0606399996,42.2784100412,No
1109, ,Spring 2018,Yes,-71.0731699994,42.3471600401,No
1110, ,Spring 2018,Yes,-71.0731699994,42.3471600401,No
1111, ,Spring 2018,Yes,-71.14046,42.2900900399,No
1112, ,Spring 2018,Yes,-71.0646182041,42.378709429699995,No
1113, ,Spring 2018,Yes,-71.0647699996,42.377010041,No
1114, ,Spring 2018,Yes,-71.13654,42.2908200399,No
1115, ,Spring 2018,Yes,-71.1154000004,42.32039004,No
1116, ,Spring 2018,Yes,-71.0721300001,42.3464900402,No
1117, ,Spring 2018,Yes,-71.0860594296,42.2997268078,No
1118, ,Spring 2018,Yes,-71.0781880093,42.340088812,No
1119, ,Spring 2018,Yes,-71.0722499997,42.27578004,No
1120, ,Spring 2018,Yes,-71.1454799996,42.250750040300005,No
1121, ,Spring 2018,Yes,-71.1454799996,42.250750040300005,No
1122, ,Spring 2018,Yes,-71.0814599987,42.304150039899994,No
1123, ,Spring 2018,Yes,-71.0738239999,42.2794080401,No
1124, ,Spring 2018,Yes,-71.11454,42.2829500399,No
1125, ,Spring 2018,Yes,-71.1144200004,42.2830400402,No
1126, ,Spring 2018,Yes,-71.1144200004,42.2830400402,No
1127, ,Spring 2018,Yes,-71.0341299996,42.3371800398,No
1128, ,Spring 2018,Yes,-71.0678200001,42.2890300401,No
1129, ,Spring 2018,Yes,-71.1485,42.278290041300004,No
1130, ,Spring 2018,Yes,-71.1485,42.278290041300004,No
1131, ,Spring 2018,Yes,-71.0734599999,42.3467600399,No
1132, ,Spring 2018,Yes,-71.1606326291,42.333394038899996,No
1133, ,Spring 2018,Yes,-71.16057898529999,42.3333524004,No
1134, ,Spring 2018,Yes,-71.1142339997,42.2832470397,No
1135, ,Spring 2018,Yes,-71.1142339997,42.2832470397,No
1136, ,Spring 2018,Yes,-71.1142339997,42.2832470397,No
1137, ,Spring 2018,Yes,-71.0122799994,42.384570040199996,No
1138, ,Spring 2018,Yes,-71.0859799996,42.3000000399,No
1139, ,Spring 2018,Yes,-71.0365111567,42.336171608,No
1140, ,Spring 2018,Yes,-71.07407093239999,42.3307327609,No
1141, ,Spring 2018,Yes,-71.07407093239999,42.3307327609,No
1142, ,Spring 2018,Yes,-71.0350400002,42.3371900407,No
1143, ,Spring 2018,Yes,-71.0666500001,42.2980700401,No
1144, ,Spring 2018,Yes,-71.0754715928,42.340211832899996,No
1145, ,Spring 2018,Yes,-71.0542700001,42.2934200402,No
1146, ,Spring 2018,Yes,-71.0650800002,42.3792800402,No
1147, ,Spring 2018,Yes,-71.0758099998,42.3377900402,No
1148, ,Spring 2018,Yes,-71.0598699997,42.37589004,No
1149, ,Spring 2018,Yes,-71.1247299999,42.2795900399,No
1150, ,Spring 2018,Yes,-71.0812499996,42.3438200409,Yes
1151, ,Spring 2018,Yes,-71.10178,42.2714300401,No
1152, ,Spring 2018,Yes,-71.0366891148,42.3346456127,No
1153, ,Spring 2018,Yes,-71.0337200004,42.331660040100004,No
1154, ,Spring 2018,Yes,-71.0775799998,42.3393300401,No
1155, ,Spring 2018,Yes,-71.1312700002,42.3589000398,No
1156, ,Spring 2018,Yes,-71.03383000000001,42.331660040100004,No
1157, ,Spring 2018,Yes,-71.11978999979999,42.2770100402,No
1158, ,Spring 2018,Yes,-71.0718399996,42.27604004,No
1159, ,Spring 2018,Yes,-71.06914999989999,42.3601800397,Yes
1160, ,Spring 2018,Yes,-71.0692889998,42.357015041,Yes
1161, ,Spring 2018,Yes,-71.1603208544,42.3332355572,No
1162, ,Spring 2018,Yes,-71.0702799997,42.382340040100004,No
1163, ,Spring 2018,Yes,-71.0986009997,42.3481280399,No
1164, ,Spring 2018,Yes,-71.11361613310001,42.2837834038,No
1165, ,Spring 2018,Yes,-71.11361613310001,42.2837834038,No
1166, ,Spring 2018,Yes,-71.11361613310001,42.2837834038,No
1167, ,Spring 2018,Yes,-71.0843,42.3453900401,No
1168, ,Spring 2018,Yes,-71.16187,42.2850100398,No
1169, ,Spring 2018,Yes,-71.0364799996,42.3371700408,No
1170, ,Spring 2018,Yes,-71.06883000020001,42.359440040100004,Yes
1171, ,Spring 2018,Yes,-71.05898000010001,42.2898500397,No
1172, ,Spring 2018,Yes,-71.1403899997,42.2895900408,No
1173, ,Spring 2018,Yes,-71.0711500001,42.346740039699995,Yes
1174, ,Spring 2018,Yes,-71.1144141038,42.3131151072,No
1175, ,Spring 2018,Yes,-71.0355599999,42.3316100409,No
1176, ,Spring 2018,Yes,-71.0151800001,42.3836000398,No
1177, ,Spring 2018,Yes,-71.11085940560001,42.284034776999995,No
1178, ,Spring 2018,Yes,-71.11085940560001,42.284034776999995,No
1179, ,Spring 2018,Yes,-71.11085940560001,42.284034776999995,No
1180, ,Spring 2018,Yes,-71.11085940560001,42.284034776999995,No
1181, ,Spring 2018,Yes,-71.11085940560001,42.284034776999995,No
1182, ,Spring 2018,Yes,-71.11085940560001,42.284034776999995,No
1183, ,Spring 2018,Yes,-71.11085940560001,42.284034776999995,No
1184, ,Spring 2018,Yes,-71.11085940560001,42.284034776999995,No
1185, ,Spring 2018,Yes,-71.11085940560001,42.284034776999995,No
1186, ,Spring 2018,Yes,-71.11085940560001,42.284034776999995,No
1187, ,Spring 2018,Yes,-71.0844699999,42.34543004,No
1188, ,Spring 2018,Yes,-71.06787799979999,42.3589820409,Yes
1189, ,Spring 2018,Yes,-71.0153399999,42.3835200402,No
1190, ,Spring 2018,Yes,-71.0551299996,42.2875800401,No
1191, ,Spring 2018,Yes,-71.0552099999,42.2876700398,No
1192, ,Spring 2018,Yes,-71.1189569992,42.278210039899996,No
1193, ,Spring 2018,Yes,-71.0718299996,42.346570039899994,No
1194, ,Spring 2018,Yes,-71.1396099997,42.2843300398,No
1195, ,Spring 2018,Yes,-71.1396099997,42.2843300398,No
1196, ,Spring 2018,Yes,-71.0358100001,42.3313200408,No
1197, ,Spring 2018,Yes,-71.15936000020001,42.2609500408,No
1198, ,Spring 2018,Yes,-71.0749100002,42.3036100397,No
1199, ,Spring 2018,Yes,-71.0749100002,42.3036100397,No
1200, ,Spring 2018,Yes,-71.018333137,42.3828605802,No
1201, ,Spring 2018,Yes,-71.05332000029999,42.3188500413,No
1202, ,Spring 2018,Yes,-71.0356400002,42.334080040100005,No
1203, ,Spring 2018,Yes,-71.05674999979999,42.3286800398,No
1204, ,Spring 2018,Yes,-71.076625963,42.3400654319,No
1205, ,Spring 2018,Yes,-71.0376300004,42.37019004,Yes
1206, ,Spring 2018,Yes,-71.16001633,42.3330897728,No
1207, ,Spring 2018,Yes,-71.1601450757,42.3331452913,No
1208, ,Spring 2018,Yes,-71.0401600002,42.3348670412,No
1209, ,Spring 2018,Yes,-71.0401600002,42.3348670412,No
1210, ,Spring 2018,Yes,-71.0401600002,42.3348670412,No
1211, ,Spring 2018,Yes,-71.0567120001,42.328839040300004,No
1212, ,Spring 2018,Yes,-71.0366699996,42.3311800409,No
1213, ,Spring 2018,Yes,-71.13988,42.2872000403,No
1214, ,Spring 2018,Yes,-71.16139999970001,42.2891500402,No
1215, ,Spring 2018,Yes,-71.0780400001,42.337020039,No
1216, ,Spring 2018,Yes,-71.0408398596,42.33446019,No
1217, ,Spring 2018,Yes,-71.0846556907,42.3457164807,Yes
1218, ,Spring 2018,Yes,-71.0846556907,42.3457164807,Yes
1219, ,Spring 2018,Yes,-71.0746299998,42.3038500412,No
1220, ,Spring 2018,Yes,-71.1596699998,42.287160039899995,No
1221, ,Spring 2018,Yes,-71.1598504696,42.332992956300004,No
1222, ,Spring 2018,Yes,-71.1597458635,42.3329473517,No
1223, ,Spring 2018,Yes,-71.1381200001,42.2777900397,No
1224, ,Spring 2018,Yes,-71.05643000010001,42.3144900402,No
1225, ,Spring 2018,Yes,-71.0879442648,42.3462078669,Yes
1226, ,Spring 2018,Yes,-71.1522980419,42.3516149807,No
1227, ,Spring 2018,Yes,-71.08469000000001,42.3454600402,No
1228, ,Spring 2018,Yes,-71.0102399999,42.3898300408,No
1229, ,Spring 2018,Yes,-71.0380200003,42.3312600408,No
1230, ,Spring 2018,Yes,-71.0932299987,42.34965004,Yes
1231, ,Spring 2018,Yes,-71.0413300002,42.3347900408,No
1232, ,Spring 2018,Yes,-71.1095799989,42.286290039899995,No
1233, ,Spring 2018,Yes,-71.1095799989,42.286290039899995,No
1234, ,Spring 2018,Yes,-71.1489500002,42.3430700399,No
1235, ,Spring 2018,Yes,-71.1130500004,42.3080100402,No
1236, ,Spring 2018,Yes,-71.08959440619999,42.328753877800004,No
1237, ,Spring 2018,Yes,-71.0693627847,42.3572302783,Yes
1238, ,Spring 2018,Yes,-71.0403519999,42.3370860397,No
1239, ,Spring 2018,Yes,-71.0417799996,42.334820040100006,No
1240, ,Spring 2018,Yes,-71.0621400002,42.3178100401,No
1241, ,Spring 2018,Yes,-71.0655399987,42.313670039899996,No
1242, ,Spring 2018,Yes,-71.0735400002,42.3365100411,No
1243, ,Spring 2018,Yes,-71.0715800002,42.3469800401,No
1244, ,Spring 2018,Yes,-71.1231299998,42.2931300402,No
1245, ,Spring 2018,Yes,-71.0988898251,42.3487545942,Yes
1246, ,Spring 2018,Yes,-71.0988898251,42.3487545942,Yes
1247, ,Spring 2018,Yes,-71.0808100002,42.3410300398,No
1248, ,Spring 2018,Yes,-71.1491900004,42.3430900399,No
1249, ,Spring 2018,Yes,-71.1191699996,42.2812100398,No
1250, ,Spring 2018,Yes,-71.03795922569999,42.3337647918,No
1251, ,Spring 2018,Yes,-71.0812299986,42.34136004,No
1252, ,Spring 2018,Yes,-71.0758999993,42.2947000402,No
1253, ,Spring 2018,Yes,-71.0187500002,42.3822300403,No
1254, ,Spring 2018,Yes,-71.11913999859999,42.2814800398,No
1255, ,Spring 2018,Yes,-71.0188599989,42.382210040100006,No
1256, ,Spring 2018,Yes,-71.03948800020001,42.3312610409,No
1257, ,Spring 2018,Yes,-71.0606200004,42.312170039899996,No
1258, ,Spring 2018,Yes,-71.1600699999,42.356650039899996,No
1259, ,Spring 2018,Yes,-71.12215999979999,42.2736600403,No
1260, ,Spring 2018,Yes,-71.0428590909,42.3342562999,No
1261, ,Spring 2018,Yes,-71.0387099999,42.3340400397,No
1262, ,Spring 2018,Yes,-71.08033999989999,42.3414000398,No
1263, ,Spring 2018,Yes,-71.0669799999,42.33731004,No
1264, ,Spring 2018,Yes,-71.1562100002,42.27983004,No
1265, ,Spring 2018,Yes,-71.0372999997,42.377260041199996,Yes
1266, ,Spring 2018,Yes,-71.0832799999,42.3064900398,No
1267, ,Spring 2018,Yes,-71.0543040004,42.315227041,No
1268, ,Spring 2018,Yes,-71.08015724479999,42.3415489847,No
1269, ,Spring 2018,Yes,-71.0255699991,42.3807800389,No
1270, ,Spring 2018,Yes,-71.03906999979999,42.333720041,No
1271, ,Spring 2018,Yes,-71.0196999992,42.38188004,No
1272, ,Spring 2018,Yes,-71.0202199989,42.38216004,No
1273, ,Spring 2018,Yes,-71.1587275656,42.2594798401,No
1274, ,Spring 2018,Yes,-71.0895999991,42.278530039,No
1275, ,Spring 2018,Yes,-71.07467,42.3358100398,No
1276, ,Spring 2018,Yes,-71.1169500003,42.26866004,No
1277, ,Spring 2018,Yes,-71.0300399998,42.3648200409,No
1278, ,Spring 2018,Yes,-71.06569000020001,42.3584700399,Yes
1279, ,Spring 2018,Yes,-71.061433,42.37506404,No
1280, ,Spring 2018,Yes,-71.1608499999,42.346010040799996,No
1281, ,Spring 2018,Yes,-71.1608499999,42.346010040799996,No
1282, ,Spring 2018,Yes,-71.0678649994,42.3567470397,No
1283, ,Spring 2018,Yes,-71.0678649994,42.3567470397,No
1284, ,Spring 2018,Yes,-71.0393599993,42.3362800397,No
1285, ,Spring 2018,Yes,-71.0658999994,42.3382600399,No
1286, ,Spring 2018,Yes,-71.0850499999,42.34577004,Yes
1287, ,Spring 2018,Yes,-71.0828899999,42.2696300407,No
1288, ,Spring 2018,Yes,-71.0828899999,42.2696300407,No
1289, ,Spring 2018,Yes,-71.0608999999,42.2787100401,No
1290, ,Spring 2018,Yes,-71.1115399998,42.2475700397,No
1291, ,Spring 2018,Yes,-71.0834599998,42.3517700403,No
1292, ,Spring 2018,Yes,-71.0698400004,42.3466900412,No
1293, ,Spring 2018,Yes,-71.0698400004,42.3466900412,No
1294, ,Spring 2018,Yes,-71.0839599994,42.314460039800004,No
1295, ,Spring 2018,Yes,-71.0795299989,42.3426900403,No
1296, ,Spring 2018,Yes,-71.0838999991,42.3145800399,No
1297, ,Spring 2018,Yes,-71.0722699989,42.294390039899994,No
1298, ,Spring 2018,Yes,-71.0722699989,42.294390039899994,No
1299, ,Spring 2018,Yes,-71.02164,42.381650040100006,No
1300, ,Spring 2018,Yes,-71.0850499999,42.3455200413,Yes
1301, ,Spring 2018,Yes,-71.1693600002,42.34965004,No
1302, ,Spring 2018,Yes,-71.0656500001,42.313850040300004,No
1303, ,Spring 2018,Yes,-71.0721999986,42.29473004,No
1304, ,Spring 2018,Yes,-71.06732999970001,42.295690039899995,No
1305, ,Spring 2018,Yes,-71.0547399996,42.29321004,No
1306, ,Spring 2018,Yes,-71.0547399996,42.29321004,No
1307, ,Spring 2018,Yes,-71.0975400004,42.2671800402,No
1308, ,Spring 2018,Yes,-71.1592299987,42.2837900398,No
1309, ,Spring 2018,Yes,-71.08414000020001,42.2991100411,No
1310, ,Spring 2018,Yes,-71.06747000029999,42.3568100398,No
1311, ,Spring 2018,Yes,-71.15202799939999,42.2931560399,No
1312, ,Spring 2018,Yes,-71.0880599993,42.2801500389,No
