,Species,Season,Inspected,Longitude,Latitude,Watered
63,MALUS 'ROYAL RAINDROPS',Spring 2019,Yes,-71.0826299996,42.2696700409,No
64,MALUS 'ROYAL RAINDROPS',Spring 2019,Yes,-71.0821500001,42.2698200398,No
65,LIRIODENDRON 'EMERALD CITY',Fall 2018,Yes,-71.17064999979999,42.2702100397,No
66,PRUNUS SUB AUTUMNALIS,Spring 2019,Yes,-71.12593000000001,42.271170041,No
67,QUERCUS X 'REGAL PRINCE',Spring 2019,Yes,-71.1199999998,42.271200040100005,Yes
68,PRUNUS X YEDOENSIS,Spring 2019,Yes,-71.0870979997,42.2713370399,No
69,QUERCUS PHELLOS,Spring 2019,Yes,-71.1254899998,42.2713500413,No
70,ULMUS CARPINIFOLIA 'ACCOLADE',Fall 2018,Yes,-71.1254200004,42.271500040700005,No
71,SYRINGA RETICULATA 'IVORY SILK',Fall 2018,Yes,-71.12574000000001,42.2717300403,No
72,GLEDITSIA TRI. INERMIS HALKA,Fall 2018,Yes,-71.1198512316,42.2719865101,Yes
73,ULMUS WILSONIANA 'PROSPECTOR',Spring 2019,Yes,-71.0687089873,42.2724544003,No
74,ULMUS WILSONIANA 'PROSPECTOR',Spring 2019,Yes,-71.0682040002,42.27248104,No
75,ULMUS WILSONIANA 'PROSPECTOR',Spring 2019,Yes,-71.0681699999,42.2726600401,No
76,PRUNUS X YEDOENSIS,Spring 2019,Yes,-71.08664,42.2728300408,No
77,CELTIS OCCIDENTALIS,Fall 2018,Yes,-71.0785799999,42.2733700398,No
78,GLEDITSIA TRI. INERMIS SKYLINE,Spring 2019,Yes,-71.0704199994,42.2737300398,No
79,CARPINUS BETULUS 'FASTIGIATE',Spring 2019,Yes,-71.07326999989999,42.2745400402,No
80,GLEDITSIA TRI. INERMIS SKYLINE,Spring 2019,Yes,-71.0753100002,42.27483004,No
81,LIQUIDAMBAR STYR,Spring 2019,Yes,-71.0753100002,42.27483004,No
82,PRUNUS VIRGINIANA CANADA RED,Spring 2019,Yes,-71.1486000004,42.2749500399,No
83,MALUS 'ROYAL RAINDROPS',Spring 2019,Yes,-71.1513799997,42.2754300398,No
84,SYRINGA RETICULATA 'IVORY SILK',Spring 2019,Yes,-71.15126,42.2755200409,No
85,ACER TRUNCATUM 'NORWEGIAN SUNSET',Spring 2019,Yes,-71.1475099999,42.2759800398,No
86,ZELKOVA SERRATA 'GREEN VASE',Spring 2019,Yes,-71.1468699997,42.2761600403,No
87,ACER GINNALA FLAME,Spring 2019,Yes,-71.1520900002,42.2762100403,No
88,PRUNUS X YEDOENSIS,Spring 2019,Yes,-71.0853500003,42.276270040300005,No
89,MALUS 'ROYAL RAINDROPS',Spring 2019,Yes,-71.08571000020001,42.2764600412,No
90,LIRIODENDRON 'EMERALD CITY',Fall 2018,Yes,-71.1195999989,42.27798004,No
91,PRUNUS VIRGINIANA CANADA RED,Spring 2019,Yes,-71.13065,42.2780000408,No
92,QUERCUS BICOLOR,Spring 2019,Yes,-71.1401999997,42.278070040100005,No
93,AMELANCHIER X CUMULUS,Spring 2019,Yes,-71.14072000029999,42.2780800398,No
94,GLEDITSIA TRI. INERMIS SKYLINE,Fall 2018,Yes,-71.1195699988,42.2781200393,No
95,LIQUIDAMBAR STYR,Spring 2019,Yes,-71.1222093434,42.2783100021,No
96,PRUNUS SUB AUTUMNALIS,Spring 2019,Yes,-71.1293300003,42.2783100413,No
97,QUERCUS BICOLOR,Spring 2019,Yes,-71.13500000020001,42.2784400402,No
98,ACER TRUNCATUM 'NORWEGIAN SUNSET',Spring 2019,Yes,-71.15519,42.2785000401,No
99,MALUS 'GOLDEN RAINDROPS',Spring 2019,Yes,-71.06015000010001,42.27852004,No
100,GYMNOCLADUS DIOICUS,Spring 2019,Yes,-71.1310700002,42.27873004,No
101,PRUNUS VIRGINIANA CANADA RED,Spring 2019,Yes,-71.1305899998,42.2788190002,No
102,PRUNUS VIRGINIANA CANADA RED,Spring 2019,Yes,-71.1548100001,42.27883004,No
103,QUERCUS PHELLOS,Spring 2019,Yes,-71.07475399970001,42.2788370413,No
104,PYRUS CALLERYANA 'CHANTICLEER',Spring 2019,Yes,-71.1305799997,42.279140039699996,No
105,ACER RUBRUM OCT. GLORY,Spring 2019,Yes,-71.0949200001,42.2792800397,No
106,PRUNUS SUB AUTUMNALIS,Spring 2019,Yes,-71.1294672871,42.2793155162,No
107,TILIA CORDATA 'GREEN SPIRE',Spring 2019,Yes,-71.0944699998,42.2794300403,No
108,ACER GINNALA FLAME,Spring 2019,Yes,-71.1265900003,42.2798600403,No
109,MALUS SUGARTYME,Spring 2019,Yes,-71.1265900003,42.2798600403,No
110,GLEDITSIA TRI. INERMIS SKYLINE,Spring 2019,Yes,-71.1160299988,42.2799000399,No
111,ACER GINNALA FLAME,Spring 2019,Yes,-71.1263500001,42.2800900412,No
112,MALUS SUGARTYME,Spring 2019,Yes,-71.1262299996,42.2802000397,No
113,ACER GINNALA FLAME,Spring 2019,Yes,-71.1262299996,42.2802000397,No
114,MALUS SUGARTYME,Spring 2019,Yes,-71.12613,42.2802800413,No
115,ACER GINNALA FLAME,Spring 2019,Yes,-71.12613,42.2802800413,No
116,TILIA CORDATA 'GREEN SPIRE',Spring 2019,Yes,-71.1330800004,42.2803700401,No
117,MALUS SUGARTYME,Spring 2019,Yes,-71.12599000029999,42.2803900401,No
118,ACER GINNALA FLAME,Spring 2019,Yes,-71.12599000029999,42.2803900401,No
119,TILIA CORDATA 'GREEN SPIRE',Spring 2019,Yes,-71.0877000003,42.2805000401,No
120,ACER GINNALA FLAME,Spring 2019,Yes,-71.1258000003,42.2805700399,No
121,ACER GINNALA FLAME,Spring 2019,Yes,-71.1258000003,42.2805700399,No
122,ACER TRUNCATUM 'NORWEGIAN SUNSET',Spring 2019,Yes,-71.13195999979999,42.2806100398,No
123,ACER TRUNCATUM 'NORWEGIAN SUNSET',Spring 2019,Yes,-71.13195999979999,42.2806100398,No
124,ACER GINNALA FLAME,Spring 2019,Yes,-71.16541,42.2806700409,No
125,TILIA CORDATA 'GREEN SPIRE',Spring 2019,Yes,-71.1185600004,42.28074004,No
126,ZELKOVA SERRATA 'GREEN VASE',Spring 2019,Yes,-71.0578500003,42.2811200409,No
127,ACER TRUNCATUM 'NORWEGIAN SUNSET',Spring 2019,Yes,-71.09650000010001,42.28125004,No
128,QUERCUS X 'REGAL PRINCE',Spring 2019,Yes,-71.0578799996,42.28125004,No
129,ACER GINNALA FLAME,Spring 2019,Yes,-71.0574700004,42.2813200397,No
130,PRUNUS SUB AUTUMNALIS,Spring 2019,Yes,-71.11415,42.2816800402,No
131,QUERCUS PALUSTRIS,Spring 2019,Yes,-71.0670600002,42.2818300403,No
132,PRUNUS VIRGINIANA CANADA RED,Spring 2019,Yes,-71.1660899996,42.2818500399,No
133,MALUS 'ROYAL RAINDROPS',Spring 2019,Yes,-71.0739000001,42.2818800412,No
134,PRUNUS VIRGINIANA CANADA RED,Spring 2019,Yes,-71.0529479998,42.2821690402,No
135,PRUNUS X YEDOENSIS,Spring 2019,Yes,-71.0944589074,42.2821884481,No
136,PRUNUS X YEDOENSIS,Spring 2019,Yes,-71.0944589074,42.2821884481,No
137,ACER GINNALA FLAME,Spring 2019,Yes,-71.1596399997,42.2824500413,No
138,PRUNUS SUB AUTUMNALIS,Spring 2019,Yes,-71.1376199996,42.2827800398,No
139,PRUNUS SUB AUTUMNALIS,Spring 2019,Yes,-71.1376199996,42.2827800398,No
140,PRUNUS X YEDOENSIS,Spring 2019,Yes,-71.1676500004,42.283190039699996,No
141,PYRUS CALLERYANA 'CHANTICLEER',Spring 2019,Yes,-71.11846,42.283340040300004,Yes
142,LIQUIDAMBAR STYR. 'HAPPI DAZE',Spring 2019,Yes,-71.1673699991,42.283400040100005,No
143,PRUNUS VIRGINIANA CANADA RED,Spring 2019,Yes,-71.16209000010001,42.28343004,No
144,GLEDITSIA TRI. INERMIS SKYLINE,Fall 2018,Yes,-71.1408399999,42.2836100398,No
145,MALUS 'ROYAL RAINDROPS',Fall 2018,Yes,-71.1211199996,42.2836100398,No
146,GLEDITSIA TRI. INERMIS SKYLINE,Spring 2019,Yes,-71.16187,42.2839100399,No
147,SYRINGA RETICULATA 'IVORY SILK',Spring 2019,Yes,-71.1396099997,42.2841500401,No
148,QUERCUS PALUSTRIS,Spring 2019,Yes,-71.1564500004,42.2845400397,No
149,MALUS SUGARTYME,Spring 2019,Yes,-71.1696299996,42.2847700409,No
150,ULMUS WILSONIANA 'PROSPECTOR',Spring 2019,Yes,-71.1421200004,42.2848700412,No
151,ULMUS CARPINIFOLIA 'ACCOLADE',Spring 2019,Yes,-71.0692499986,42.2850600401,No
152,TILIA CORDATA 'GREEN SPIRE',Spring 2019,Yes,-71.1161505428,42.2853572308,Yes
153,MALUS 'GOLDEN RAINDROPS',Fall 2018,Yes,-71.1578000003,42.285380039699994,No
154,GLEDITSIA TRI. INERMIS HALKA,Spring 2019,Yes,-71.1260100004,42.28541004,No
155,QUERCUS ACUTISSIMA,Spring 2019,Yes,-71.16748999970001,42.2854200398,No
156,GLEDITSIA TRI. INERMIS HALKA,Spring 2019,Yes,-71.1264199996,42.28555004,No
157,ACER GINNALA FLAME,Spring 2019,Yes,-71.06819,42.285750040100005,No
158,GLEDITSIA TRI. INERMIS SKYLINE,Spring 2019,Yes,-71.1365599992,42.2860900403,No
159,PYRUS CALLERYANA 'CHANTICLEER',Spring 2019,Yes,-71.06775999979999,42.286650039899996,No
160,ACER CAMPESTRE 'QUEEN ELIZABETH',Fall 2018,Yes,-71.1540399992,42.2868600401,No
161,ACER RUBRUM OCT. GLORY,Fall 2018,Yes,-71.1540399992,42.2868600401,No
162,TILIA CORDATA 'GREEN SPIRE',Fall 2018,Yes,-71.1190099998,42.2869200392,Yes
163,PRUNUS SUB AUTUMNALIS,Spring 2019,Yes,-71.1402299999,42.2871700408,No
164,PRUNUS VIRGINIANA CANADA RED,Spring 2019,Yes,-71.0665599997,42.2871700408,No
165,QUERCUS PHELLOS,Spring 2019,Yes,-71.11566999979999,42.2872100412,No
166,SYRINGA RETICULATA 'IVORY SILK',Spring 2019,Yes,-71.1409300004,42.287230041,No
167,ACER TRUNCATUM 'NORWEGIAN SUNSET',Spring 2019,Yes,-71.13731999999999,42.2873400397,No
168,ULMUS CARPINIFOLIA 'ACCOLADE',Spring 2019,Yes,-71.0583999992,42.2874300397,No
169,QUERCUS PALUSTRIS,Spring 2019,Yes,-71.1267823341,42.2874815938,No
170,LIQUIDAMBAR STYR,Spring 2019,Yes,-71.13863999979999,42.2875500402,No
171,MALUS 'ROYAL RAINDROPS',Spring 2019,Yes,-71.1182199989,42.2875500402,Yes
172,GLEDITSIA TRI. INERMIS SKYLINE,Spring 2019,Yes,-71.13729999899999,42.28761004,No
173,QUERCUS ACUTISSIMA,Spring 2019,Yes,-71.142199999,42.2876700398,No
174,ACER RUBRUM OCT. GLORY,Spring 2019,Yes,-71.15479,42.28776004,No
175,MALUS 'GOLDEN RAINDROPS',Spring 2019,Yes,-71.1181899996,42.2877900398,Yes
176,PYRUS CALLERYANA 'CHANTICLEER',Spring 2019,Yes,-71.14031999939999,42.287880039899996,No
177,CARPINUS BETULUS 'FASTIGIATE',Spring 2019,Yes,-71.1181399994,42.287910040300005,Yes
178,ULMUS WILSONIANA 'PROSPECTOR',Spring 2019,Yes,-71.14422999930001,42.2879200398,No
179,QUERCUS ACUTISSIMA,Spring 2019,Yes,-71.1399117384,42.2879240058,No
180,ACER TRUNCATUM 'NORWEGIAN SUNSET',Spring 2019,Yes,-71.1655299997,42.288010041,No
