OBJECTID,SITE_NAME,OWNERSHIP,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong
8200,M Street Beach,Commonwealth of Massachusetts,South Boston,4.40267291, ,Open Space District,"Parkways, Reservations & Beaches"
8201,Stonehill Park,City of Boston,Hyde Park,0.31754052,2-16 Raldne St.,Residential District,"Parks, Playgrounds & Athletic Fields"
8202,Strandway/Castle Island,Commonwealth of Massachusetts,South Boston,47.69946623, ,Open Space District,"Parkways, Reservations & Beaches"
8203,Marine Park,Commonwealth of Massachusetts,South Boston,17.19998118, ,Open Space District,"Parkways, Reservations & Beaches"
8204,UMass Harborwalk,Commonwealth of Massachusetts,Dorchester,13.08531362, ,Institutional District,"Parkways, Reservations & Beaches"
8205,Malibu Beach,Commonwealth of Massachusetts,Dorchester,26.11747726, ,Open Space District,"Parkways, Reservations & Beaches"
8206,Victory Road Park,Commonwealth of Massachusetts,Dorchester,6.15465743, ,Open Space District,"Parkways, Reservations & Beaches"
8207,Parkman Memorial,City of Boston,Jamaica Plain,6.70969084,Perkins Str.,Open Space District,"Parks, Playgrounds & Athletic Fields"
8208,West Roxbury High School Marsh,City of Boston,West Roxbury,21.19909993, ,Institutional District,Urban Wilds & Natural Areas
8209,Mass Art Park,City of Boston,Fenway/Kenmore,0.15233822, ,Institutional District,"Malls, Squares & Plazas"
8210,West Roxbury Parkway,Commonwealth of Massachusetts,West Roxbury,31.76, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches"
8211,Florida Street Reservation,City of Boston,Dorchester,0.06797031, ,Residential District,"Malls, Squares & Plazas"
8212,Tenean Beach,Commonwealth of Massachusetts,Dorchester,8.70153083, ,Open Space District,"Parkways, Reservations & Beaches"
8214,Martini Playground,Commonwealth of Massachusetts,Hyde Park,5.77995247, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches"
8216,Reservation Road Park,City of Boston,Hyde Park,8.7,151 Res. Road,Industrial District,"Parks, Playgrounds & Athletic Fields"
8217,Colella Playground,Commonwealth of Massachusetts,Hyde Park,0.68814713, ,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields"
8218,Neponset Valley Parkway,Commonwealth of Massachusetts,Hyde Park,5.4959161, ,Residential District,"Parkways, Reservations & Beaches"
8219,Dooley Playground,Commonwealth of Massachusetts,Hyde Park,0.44495663, ,Residential District,"Parks, Playgrounds & Athletic Fields"
8220,Stony Brook Reservation I,Commonwealth of Massachusetts,Hyde Park,292.26, ,Residential District,"Parkways, Reservations & Beaches"
8222,Clark/Cooper Community Garden,Private,Mattapan,3.55,500 Walk Hill Street,Industrial District,Community Gardens
8225,Wellington Common,BNAN_TTOR,South End,0.04,32 Wellington Street,Open Space District,Community Gardens
8230,Minton Stable Garden,BNAN_TTOR,Jamaica Plain,1.2,102R-104A Williams Street,Open Space District,Community Gardens
8232,Kennedy Garden,Commonwealth of Massachusetts,Mattapan,0.15963181, ,Open Space District,Community Gardens
8233,White Stadium,City of Boston,Roxbury,12.57331008, ,Open Space District,"Parks, Playgrounds & Athletic Fields"
8234,Beth Israel/Deaconess Plaza,Private,Fenway/Kenmore,0.50150988, ,Institutional District,"Malls, Squares & Plazas"
8236,Havey Beach,Commonwealth of Massachusetts,West Roxbury,15.3277103, ,Open Space District,"Parkways, Reservations & Beaches"
8237,Millennium Park I,City of Boston,West Roxbury,91.65,300 Gardner Str.,Open Space District,"Parks, Playgrounds & Athletic Fields"
8238,South Street Mall & Courts,City of Boston,Jamaica Plain,0.08138799,South & Child Sts,Open Space District,"Parks, Playgrounds & Athletic Fields"
8240,Golden Stairs Terrace Park I,City of Boston,East Boston,0.17, ,Residential District,"Parks, Playgrounds & Athletic Fields"
8241,The Rockies,City of Boston,East Boston,0.72777625, ,Open Space District,Urban Wilds & Natural Areas
8242,Childe Hassam Park,City of Boston,South End,0.06016341, ,Residential District,"Malls, Squares & Plazas"
8243,Roxbury Heritage State Park II,City of Boston,Roxbury,0.35, ,Institutional District,"Parks, Playgrounds & Athletic Fields"
8244,Kittredge-Linwood Parcel,BNAN_TTOR,Roxbury,0.1638802, ,Open Space District,"Parks, Playgrounds & Athletic Fields"
8245,Nellie Miranda Memorial Park,City of Boston,Dorchester,0.09, ,Residential District,"Parks, Playgrounds & Athletic Fields"
8246,Grove Hall Plaza,City of Boston,Roxbury,0.09250954, ,Open Space District,"Malls, Squares & Plazas"
8248,Commonwealth Plaza,MassDOT,Allston-Brighton,0.15673393, ,Institutional District,"Malls, Squares & Plazas"
8249,Mendoza Square,City of Boston,East Boston,0.03237484,435 Bennington St.,Commercial/Office/Business District,"Malls, Squares & Plazas"
8253,Chestnut Hill Reservoir Garden,Commonwealth of Massachusetts,Allston-Brighton,0.11361635, ,Open Space District,Community Gardens
8254,Ohrenberger Recreation Complex,City of Boston,West Roxbury,3.79797555, ,Residential District,"Parks, Playgrounds & Athletic Fields"
8257,Wilson Square,City of Boston,Allston-Brighton,0.05817535,Intersection of Dunboy & Perthshire,Open Space District,"Malls, Squares & Plazas"
